No,id_item,nama_item,katagory,Brand,harga,rating
41,TE041,Executive Wide Leg Pants With Front Pleats,Pants,Executive,98970,"4,7"
42,TE042,Executive Skinny Fit Ankle Pants Black,Pants,Executive,150000,"4,6"
43,TE043,Executive Basic Tapered High Rise Pants Black,Pants,Executive,150000,"4,8"
44,TE044,Executive Basic Tapered Pants Black,Pants,Executive,254915,"4,9"
45,TE045,Executive Skinny Fit Ankle Pants Dark Grey,Pants,Executive,150000,"4,5"
46,TE046,Executive High Waist Tapered Ankle Pants White,Pants,Executive,287920,"4,5"
47,TE047,Executive Basic Tapered High Rise Editor Pants Khaki,Pants,Executive,254915,48
48,TE048,Executive Basic Way Stretch Skinny Brooklyn Editor Pants Navy,Pants,Executive,299900,"4,6"
49,TE049,Executive Basic Skinny Fit Denim Pants Light Blue,Pants,Executive,179900,"4,9"
50,TE050,Executive Skinny Fit Ankle Pants Taupe,Pants,Executive,150000,"4,6"
51,TE051,Executive Basic Slim Fit Long Sleeve Shirt Navy,Shirt,Executive,199900,"4,9"
52,TE052,Executive Basic Slim Fit Long Sleeve Shirt Black,Shirt,Executive,199900,"4,9"
53,TE053,Executive Basic Slim Fit Long Sleeve Shirt White,Shirt,Executive,199900,"4,8"
54,TE054,Executive Basic Easy Care Long Sleeve Shirt White,Shirt,Executive,169915,"4,8"
55,TE055,Executive Slim Fit Long Sleeve Blouse White,Shirt,Executive,199900,"4,8"
56,TE056,Executive Basic Long Sleeve Shirt Black,Shirt,Executive,199900,"4,9"
57,TE057,Executive Basic Long Sleeve Blouse Light Blue,Shirt,Executive,199900,"4,9"
58,TE058,Executive Basic Long Sleeve Shirt Lightblue,Shirt,Executive,199900,"4,9"
59,TE059,Executive Basic Long Sleeve Shirt Light Blue Fitreguler,Shirt,Executive,199900,"4,9"
60,TE060,Executive Slim Fit Long Sleeve Shirt Light Blue,Shirt,Executive,169915,"4,9"
61,TE061,Executive Long Sleeves Blouse Navy,Shirt,Executive,199900,"4,9"
62,TE062,Executive Slim Fit Long Sleeve Shirt White,Shirt,Executive,169915,"4,8"
63,TE063,Executive Basic Long Sleeve Shirt Blue,Shirt,Executive,169915,"4,9"
64,TE064,Executive Rhinestone Long Sleeve Crop Shirt White,Shirt,Executive,149950,"4,5"
